package_name,country_code,total_downloads
cloudpickle,US,3535731
pendulum,US,3521219
smart-open,US,3500138
executing,US,3495712
grpc-google-iam-v1,US,3468534
botocore,IN,3467270
pre-commit,US,3454105
isort,US,3418109
mccabe,US,3406696
cfgv,US,3406300
asttokens,US,3378478
datadog,US,3348535
pytest-xdist,US,3343333
future,US,3342056
pycodestyle,US,3340324
termcolor,US,3326333
semver,US,3323388
langchain-core,US,3318471
mpmath,US,3297919
markdown,US,3291703
google-cloud-secret-manager,US,3268006
jsonpath-ng,US,3261113
uvloop,US,3232679
execnet,US,3230806
pure-eval,US,3220644
stack-data,US,3220124
tiktoken,US,3212627
pytest-asyncio,US,3209744
watchfiles,US,3154867
python-json-logger,US,3138675
asgiref,US,3126223
pyzmq,US,3088442
scramp,US,3074656
pymongo,US,3069503
watchdog,US,3052879
hf-xet,US,3044838
aiofiles,US,3024417
opensearch-py,US,2983333
typing-inspect,US,2979271
typing-extensions,IE,2970197
google-cloud-batch,US,2967077
httptools,US,2958438
argcomplete,US,2950668
py,US,2927121
jsonpatch,US,2904409
aioitertools,US,2882070
backports-tarfile,US,2878995
debugpy,US,2878390
editables,US,2855079
requests-aws4auth,US,2850852
multiprocess,US,2849497
pytest-mock,US,2848635
databricks-sdk,US,2843261
redshift-connector,US,2821142
botocore,IE,2814107
psycopg2,US,2773190
pygithub,US,2773088
pbs-installer,US,2750007
urllib3,DE,2746487
google-analytics-admin,US,2744567
tinycss2,US,2724762
urllib3,IE,2723133
findpython,US,2691591
requests,DE,2656337
pyrsistent,US,2642868
certifi,DE,2628766
rfc3339-validator,US,2624296
snowflake-sqlalchemy,US,2614824
dataclasses-json,US,2596294
aenum,US,2587425
pyflakes,US,2543721
arrow,US,2537496
charset-normalizer,DE,2506513
jupyter-core,US,2506430
shapely,US,2486622
slack-sdk,US,2453345
typing-extensions,DE,2446967
idna,DE,2446620
httpx-sse,US,2445640
text-unidecode,US,2438093
certifi,SG,2423903
pycryptodome,US,2408330
urllib3,SG,2405539
msrest,US,2402084
ipykernel,US,2392413
typing-extensions,SG,2391150
azure-common,US,2370395
requests,IE,2365723
jupyter-client,US,2363542
opentelemetry-exporter-prometheus,US,2352719
python-slugify,US,2350356
xlsxwriter,US,2338087
certifi,IE,2313558
requests,SG,2296279
comm,US,2289828
flake8,US,2283108
durationpy,US,2282217
pg8000,US,2279102
s3transfer,IE,2277713
mistune,US,2262034
charset-normalizer,SG,2261281
requests-file,US,2251214
nvidia-nccl-cu12,US,2247274
snowflake-snowpark-python,US,2246447
notebook,US,2227630
bleach,US,2226883
lark,US,2220585
graphql-core,US,2209847
docstring-parser,US,2204896
databricks-sql-connector,US,2168407
h2,US,2165798
types-pyyaml,US,2151465
elasticsearch,US,2144879
nbformat,US,2141398
packaging,DE,2129321
types-protobuf,US,2128733
cattrs,US,2126984
invoke,US,2118774
safetensors,US,2115104
humanfriendly,US,2111654
pysocks,US,2105258
structlog,US,2105134
deepdiff,US,2100636
nbconvert,US,2094329
charset-normalizer,IE,2070584
hyperframe,US,2063134
hpack,US,2062769
zope-interface,US,2049541
google-pasta,US,2034776
simplejson,US,2033332
progressbar2,US,2011677
google-cloud-pubsub,US,1994030
pydantic,IE,1992815
idna,IE,1979766
nvidia-cublas-cu12,US,1978820
selenium,US,1976787
nvidia-cusparse-cu12,US,1972535
wsproto,US,1972458
lz4,US,1968564
jupyter-server,US,1964083
narwhals,US,1962178
setuptools,IE,1954290
triton,US,1948002
nvidia-nvjitlink-cu12,US,1946493
loguru,US,1944394
nbclient,US,1941179
nltk,US,1935259
setuptools,DE,1922007
google-cloud-logging,US,1921478
google-cloud-aiplatform,US,1916567
overrides,US,1909764
responses,US,1903718
tb-nightly,US,1899582
six,DE,1899372
typing-extensions,NL,1898268
ordered-set,US,1890869
google-cloud-kms,US,1890291
nvidia-cuda-cupti-cu12,US,1888697
botocore,DE,1883505
nvidia-cuda-runtime-cu12,US,1880166
boto3,BR,1880083
google-cloud-compute,US,1879073
nvidia-cuda-nvrtc-cu12,US,1875708
authlib,US,1871282
nvidia-cufft-cu12,US,1868166
dbt-adapters,US,1867189
nvidia-cusolver-cu12,US,1865108
nvidia-curand-cu12,US,1861733
python-utils,US,1844664
setproctitle,US,1841807
pyspark,US,1836412
argon2-cffi-bindings,US,1831646
nvidia-cudnn-cu12,US,1831229
faker,US,1830867
python-dateutil,DE,1828626
flatbuffers,US,1825622
google-cloud-tasks,US,1820164
pycryptodomex,US,1818093
python-dateutil,IE,1818068
argon2-cffi,US,1817758
pandocfilters,US,1811293
nvidia-nvtx-cu12,US,1808639
jupyterlab,US,1804587
numba,US,1803491
tf-keras-nightly,US,1803436
jupyterlab-pygments,US,1799341
typeguard,US,1799042
inflection,US,1797851
google-cloud-monitoring,US,1780832
brotli,US,1777229
six,IE,1774967
antlr4-python3-runtime,US,1774183
kombu,US,1770155
botocore-stubs,US,1763509
gremlinpython,US,1763224
s3transfer,DE,1759075
xlrd,US,1758336
urllib3,JP,1755168
confluent-kafka,US,1754892
numpy,DE,1753365
plotly,US,1748789
astroid,US,1748288
google-cloud-vision,US,1746420
croniter,US,1741634
google-cloud-dlp,US,1739864
rfc3986,US,1738843
google-cloud-speech,US,1735720
sse-starlette,US,1732285
json5,US,1730519
